price;host_since;neighbourhood_cleansed;city;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;cleaning_fee;guests_included;minimum_nights;maximum_nights;number_of_reviews;instant_bookable;calculated_host_listings_count;apartment;house;private_room;shared_room;strict_cancel;flexible_cancel;moderate_cancel
80.0;3277.0;1;1;1.0;1.0;1.0;1.0;1;10;0.0;1.0;3.0;32.0;98.0;0;12.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0
150.0;2743.0;1;1;4.0;1.0;1.0;1.0;1;17;75.0;2.0;3.0;10.0;44.0;1;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
109.0;1998.0;1;1;2.0;1.0;1.0;1.0;1;19;0.0;1.0;1.0;7.0;3.0;1;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0
65.0;2575.0;0;1;1.0;0.0;1.0;1.0;1;11;0.0;1.0;1.0;1125.0;1.0;1;3.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0
225.0;3402.0;1;1;6.0;1.5;2.0;2.0;1;10;95.0;4.0;2.0;1125.0;40.0;1;4.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
220.0;2442.0;1;1;4.0;1.5;3.0;2.0;1;20;150.0;1.0;3.0;1125.0;7.0;1;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
155.0;4128.0;1;1;2.0;1.0;1.0;1.0;1;10;150.0;1.0;3.0;1125.0;6.0;1;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
105.0;2403.0;1;1;4.0;1.0;1.0;2.0;1;14;55.0;2.0;1.0;1125.0;8.0;1;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
75.0;2065.0;0;1;2.0;1.0;1.0;1.0;1;14;5.0;1.0;1.0;1125.0;1.0;1;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0
149.0;1917.0;1;1;4.0;2.0;2.0;2.0;1;11;75.0;5.67211876497981;1.0;1125.0;2.0;1;8.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
120.0;3051.0;1;1;2.0;1.0;0.0;2.0;1;15;50.0;1.0;1.0;7.0;6.0;1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
115.0;2996.0;1;1;2.0;1.0;1.0;1.0;0;15;0.0;1.0;1.0;1125.0;1.0;1;2.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0
80.0;3384.0;1;1;2.0;1.0;0.0;1.0;1;7;0.0;1.0;3.0;15.0;5.0;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
54.0;2520.0;1;1;2.0;1.0;1.0;1.0;1;10;25.0;1.0;2.0;1125.0;0.0;1;2.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0
170.0;2365.0;1;1;4.0;1.0;1.0;3.0;1;16;40.0;2.0;1.0;1125.0;0.0;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
180.0;2649.0;1;1;6.0;2.5;2.0;4.0;1;15;100.0;4.0;3.0;1125.0;29.0;1;2.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
78.0;3174.0;1;1;2.0;1.0;1.0;1.0;1;6;150.0;1.0;3.0;1125.0;4.0;1;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0
180.0;2765.0;1;1;4.0;1.0;2.0;2.0;1;12;75.0;4.0;10.0;20.0;26.0;1;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
215.0;3009.0;1;1;3.0;1.0;1.0;2.0;1;11;0.0;2.0;1.0;1125.0;34.0;1;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
300.0;2403.0;1;1;7.0;3.013746803499;3.0;3.0;1;15;50.0;3.0;3.0;1125.0;8.0;1;2.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
125.0;3057.0;1;1;5.0;1.5;2.0;3.0;1;9;0.0;1.0;6.0;1125.0;0.0;1;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
93.0;2155.0;1;0;2.0;1.0;0.0;1.0;1;15;40.0;2.0;3.0;6.0;10.0;0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
50.0;3031.0;1;1;2.0;1.0;1.0;1.0;1;12;50.0;1.0;7.0;9.0;2.0;1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
175.0;2221.0;1;1;4.0;1.0;1.0;2.0;1;20;65.0;2.0;13.99614170525171;365.0;3.0;1;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
299.0;2698.0;0;1;8.0;3.013746803499;3.7347608535457617;5.256614162315398;1;16;100.0;1.0;2.0;1125.0;8.0;1;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
283.0;3866.0;1;1;9.29452931850152;3.013746803499;3.7347608535457617;5.256614162315398;1;15;155.0;5.67211876497981;4.0;90.0;19.0;1;2.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
299.0;1917.0;1;1;7.0;2.0;3.7347608535457617;4.0;1;15;150.0;5.67211876497981;1.0;1125.0;2.0;1;8.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
95.0;3132.0;1;1;2.0;1.0;1.0;1.0;1;10;0.0;1.0;2.0;1125.0;6.0;1;3.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0
40.0;2018.0;1;1;1.0;1.0;1.0;1.0;1;12;0.0;1.0;1.0;1125.0;0.0;1;2.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
120.0;3082.0;1;1;4.0;2.5;2.0;2.0;1;9;0.0;1.0;1.0;1125.0;20.0;1;5.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
